Energy Usage Information
"For location: DEMO HOUSEHOLD, AGOURA HILLS CA 91301

Meter Reading Information
"Type of readings: Electricity"

Summary of Electric Power Usage Information*
"Your download will contain interval usage data that is currently available for your selected Service Account. Based on how our systems process and categorize usage data, your download may contain usage data of the following types: actual, estimated, validated or missing. "

Detailed Usage
"Start date: 2024-09-01 00:00:00  for 365 days"
Date,Energy Consumption time Period Start,Energy Consumption time Period End,Delivered,Received
"09/01/2024 ","09/01/2024 12:00AM ","09/01/2024 01:00AM ","0.792","0.000"
"09/01/2024 ","09/01/2024 01:00AM ","09/01/2024 02:00AM ","0.774","0.000"
"09/01/2024 ","09/01/2024 02:00AM ","09/01/2024 03:00AM ","0.552","0.000"
"09/01/2024 ","09/01/2024 03:00AM ","09/01/2024 04:00AM ","0.552","0.000"
"09/01/2024 ","09/01/2024 04:00AM ","09/01/2024 05:00AM ","2.226","0.000"
"09/01/2024 ","09/01/2024 05:00AM ","09/01/2024 06:00AM ","8.136","0.000"
"09/01/2024 ","09/01/2024 06:00AM ","09/01/2024 07:00AM ","8.112","0.000"
"09/01/2024 ","09/01/2024 07:00AM ","09/01/2024 08:00AM ","5.568","0.000"
"09/01/2024 ","09/01/2024 08:00AM ","09/01/2024 09:00AM ","0.564","0.000"
"09/01/2024 ","09/01/2024 09:00AM ","09/01/2024 10:00AM ","0.780","0.000"
"09/01/2024 ","09/01/2024 10:00AM ","09/01/2024 11:00AM ","0.930","0.000"
"09/01/2024 ","09/01/2024 11:00AM ","09/01/2024 12:00PM ","0.588","0.000"
"09/01/2024 ","09/01/2024 12:00PM ","09/01/2024 1:00PM ","0.384","0.000"
"09/01/2024 ","09/01/2024 1:00PM ","09/01/2024 2:00PM ","2.040","0.000"
"09/01/2024 ","09/01/2024 2:00PM ","09/01/2024 3:00PM ","3.168","0.000"
"09/01/2024 ","09/01/2024 3:00PM ","09/01/2024 4:00PM ","3.600","0.000"
"09/01/2024 ","09/01/2024 4:00PM ","09/01/2024 5:00PM ","3.444","0.000"
"09/01/2024 ","09/01/2024 5:00PM ","09/01/2024 6:00PM ","4.128","0.000"
"09/01/2024 ","09/01/2024 6:00PM ","09/01/2024 7:00PM ","3.756","0.000"
"09/01/2024 ","09/01/2024 7:00PM ","09/01/2024 8:00PM ","3.102","0.000"
"09/01/2024 ","09/01/2024 8:00PM ","09/01/2024 9:00PM ","3.384","0.000"
"09/01/2024 ","09/01/2024 9:00PM ","09/01/2024 10:00PM ","2.592","0.000"
"09/01/2024 ","09/01/2024 10:00PM ","09/01/2024 11:00PM ","1.752","0.000"
"09/01/2024 ","09/01/2024 11:00PM ","09/02/2024 12:00AM ","1.164","0.000"
"09/02/2024 ","09/02/2024 12:00AM ","09/02/2024 01:00AM ","0.720","0.000"
"09/02/2024 ","09/02/2024 01:00AM ","09/02/2024 02:00AM ","0.822","0.000"
"09/02/2024 ","09/02/2024 02:00AM ","09/02/2024 03:00AM ","0.570","0.000"
"09/02/2024 ","09/02/2024 03:00AM ","09/02/2024 04:00AM ","0.756","0.000"
"09/02/2024 ","09/02/2024 04:00AM ","09/02/2024 05:00AM ","1.950","0.000"
"09/02/2024 ","09/02/2024 05:00AM ","09/02/2024 06:00AM ","8.448","0.000"
"09/02/2024 ","09/02/2024 06:00AM ","09/02/2024 07:00AM ","8.370","0.000"
"09/02/2024 ","09/02/2024 07:00AM ","09/02/2024 08:00AM ","7.032","0.000"
"09/02/2024 ","09/02/2024 08:00AM ","09/02/2024 09:00AM ","0.696","0.000"
"09/02/2024 ","09/02/2024 09:00AM ","09/02/2024 10:00AM ","0.516","0.000"
"09/02/2024 ","09/02/2024 10:00AM ","09/02/2024 11:00AM ","0.540","0.000"
"09/02/2024 ","09/02/2024 11:00AM ","09/02/2024 12:00PM ","0.612","0.000"
"09/02/2024 ","09/02/2024 12:00PM ","09/02/2024 1:00PM ","0.504","0.000"
"09/02/2024 ","09/02/2024 1:00PM ","09/02/2024 2:00PM ","0.714","0.000"
"09/02/2024 ","09/02/2024 2:00PM ","09/02/2024 3:00PM ","1.332","0.000"
"09/02/2024 ","09/02/2024 3:00PM ","09/02/2024 4:00PM ","1.782","0.000"
"09/02/2024 ","09/02/2024 4:00PM ","09/02/2024 5:00PM ","2.916","0.000"
"09/02/2024 ","09/02/2024 5:00PM ","09/02/2024 6:00PM ","4.062","0.000"
"09/02/2024 ","09/02/2024 6:00PM ","09/02/2024 7:00PM ","3.858","0.000"
"09/02/2024 ","09/02/2024 7:00PM ","09/02/2024 8:00PM ","3.804","0.000"
"09/02/2024 ","09/02/2024 8:00PM ","09/02/2024 9:00PM ","3.192","0.000"
"09/02/2024 ","09/02/2024 9:00PM ","09/02/2024 10:00PM ","2.898","0.000"
"09/02/2024 ","09/02/2024 10:00PM ","09/02/2024 11:00PM ","1.812","0.000"
"09/02/2024 ","09/02/2024 11:00PM ","09/03/2024 12:00AM ","1.476","0.000"
"09/03/2024 ","09/03/2024 12:00AM ","09/03/2024 01:00AM ","0.732","0.000"
"09/03/2024 ","09/03/2024 01:00AM ","09/03/2024 02:00AM ","0.834","0.000"
"09/03/2024 ","09/03/2024 02:00AM ","09/03/2024 03:00AM ","0.678","0.000"
"09/03/2024 ","09/03/2024 03:00AM ","09/03/2024 04:00AM ","0.522","0.000"
"09/03/2024 ","09/03/2024 04:00AM ","09/03/2024 05:00AM ","0.354","0.000"
"09/03/2024 ","09/03/2024 05:00AM ","09/03/2024 06:00AM ","0.354","0.000"
"09/03/2024 ","09/03/2024 06:00AM ","09/03/2024 07:00AM ","0.336","0.000"
"09/03/2024 ","09/03/2024 07:00AM ","09/03/2024 08:00AM ","0.534","0.000"
"09/03/2024 ","09/03/2024 08:00AM ","09/03/2024 09:00AM ","0.486","0.000"
"09/03/2024 ","09/03/2024 09:00AM ","09/03/2024 10:00AM ","0.504","0.000"
"09/03/2024 ","09/03/2024 10:00AM ","09/03/2024 11:00AM ","0.522","0.000"
"09/03/2024 ","09/03/2024 11:00AM ","09/03/2024 12:00PM ","1.836","0.000"
"09/03/2024 ","09/03/2024 12:00PM ","09/03/2024 1:00PM ","2.514","0.000"
"09/03/2024 ","09/03/2024 1:00PM ","09/03/2024 2:00PM ","3.216","0.000"
"09/03/2024 ","09/03/2024 2:00PM ","09/03/2024 3:00PM ","4.416","0.000"
"09/03/2024 ","09/03/2024 3:00PM ","09/03/2024 4:00PM ","3.990","0.000"
"09/03/2024 ","09/03/2024 4:00PM ","09/03/2024 5:00PM ","3.852","0.000"
"09/03/2024 ","09/03/2024 5:00PM ","09/03/2024 6:00PM ","3.816","0.000"
"09/03/2024 ","09/03/2024 6:00PM ","09/03/2024 7:00PM ","3.426","0.000"
"09/03/2024 ","09/03/2024 7:00PM ","09/03/2024 8:00PM ","3.912","0.000"
"09/03/2024 ","09/03/2024 8:00PM ","09/03/2024 9:00PM ","3.612","0.000"
"09/03/2024 ","09/03/2024 9:00PM ","09/03/2024 10:00PM ","2.052","0.000"
"09/03/2024 ","09/03/2024 10:00PM ","09/03/2024 11:00PM ","1.500","0.000"
"09/03/2024 ","09/03/2024 11:00PM ","09/04/2024 12:00AM ","1.254","0.000"
"09/04/2024 ","09/04/2024 12:00AM ","09/04/2024 01:00AM ","0.930","0.000"
"09/04/2024 ","09/04/2024 01:00AM ","09/04/2024 02:00AM ","0.582","0.000"
"09/04/2024 ","09/04/2024 02:00AM ","09/04/2024 03:00AM ","0.744","0.000"
